================================================================================
HMM 状態別デコード分析  k=9
  語頭=位置0, 語中=位置1〜L-2, 語末=位置L-1 (BOS/EOS 除外)
  chcfhhy            57.1%      0%     80%      0%
  chckhhy            57.1%      0%     80%      0%
  chcphhy            57.1%      0%     80%      0%
  chcthhy            57.1%      0%     80%      0%
  shckhhd            57.1%      0%     80%      0%
  shckhhy            57.1%      0%     80%      0%
  shcphhy            57.1%      0%     80%      0%
  shcthhy            57.1%      0%     80%      0%
  cckhhy             50.0%      0%     75%      0%
  cfhs               50.0%      0%    100%      0%
  cfhy               50.0%      0%    100%      0%
  ch                 50.0%      0%    N/A    100%
  chcfhy             50.0%      0%     75%      0%
  chchky             50.0%      0%     75%      0%
  chchty             50.0%      0%     75%      0%
  chckhd             50.0%      0%     75%      0%
  chckhs             50.0%      0%     75%      0%
  chckhy             50.0%      0%     75%      0%

────────────────────────────────────────────────────────────────────────────────
  State 4: S4
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  daindl             50.0%      0%     50%    100%
  in                 50.0%      0%    N/A    100%
  rn                 50.0%      0%    N/A    100%
  daiinls            42.9%      0%     40%    100%
  daind              40.0%      0%     33%    100%
  daing              40.0%      0%     33%    100%
  dainl              40.0%      0%     33%    100%
  opydg              40.0%      0%     33%    100%
  sainn              40.0%      0%     33%    100%
  aiinog             33.3%      0%     25%    100%
  ain                33.3%      0%      0%    100%
  aindar             33.3%      0%     50%      0%
  ald                33.3%      0%      0%    100%
  amd                33.3%      0%      0%    100%
  ckhyds             33.3%      0%     25%    100%
  dgs                33.3%      0%      0%    100%
  dys                33.3%      0%      0%    100%
  een                33.3%      0%      0%    100%
  iin                33.3%      0%      0%    100%
  oin                33.3%      0%      0%    100%
  chaiind            28.6%      0%     20%    100%
  chaindy            28.6%      0%     40%      0%
  daiindy            28.6%      0%     40%      0%
  dyotyds            28.6%      0%     20%    100%
  saiindy            28.6%      0%     40%      0%
  aiin               25.0%      0%      0%    100%
  ainy               25.0%      0%     50%      0%
